,Low Budget,Medium Budget,High Budget
F1: Bio & Threat (Max),59521.15283391805,140747.23092900775,226264.65227451062
F2: Carbon (Max),58935.42627513394,127860.73841640956,198845.70623688135
F3: Urgency (Max),40365.23206266963,90556.79346079896,154936.78235647487
F4: Reversal Risk (Min),49190.94732132757,127082.92464665313,212584.5601254909
F5: Spatial Score (Min),0.15267661065094784,0.10827152757052577,0.11253618321990985
Average Cost Allocated (USD),8854800.0004,19593999.9996,31599999.999999996
Number of Municipalities Selected,25.0,25.0,25.0
Total Area Allocated (ha),99346.75,220673.36000000002,352473.1
