Objective,Nadir,Utopia,range,tolerance
Bio_and_extinction,1036.6513940227774,145998.50280469665,144961.85141067387,1449.6185141067388
Carbon,5313.825487180389,193410.0019679619,188096.17648078152,1880.9617648078151
Urgency,38.21229676799993,141990.93300851926,141952.72071175126,1419.5272071175127
Reversal Risk,216855.2722493316,0.0,216855.2722493316,2168.552722493316
Spatial Penalty,3.457951882286085,0.0863858254248498,3.3715660568612353,0.03371566056861235
