Metric,Payoff Optimal,MILP (Lexicographic),Heuristic (Greedy),Risk-Adverse Investor (Lexicographic)
F1: Bio & Threat (Max),145998.50280469665,140747.23,106680.13801266512,106963.2041470087
F2: Carbon (Max),193410.0019679619,127860.74,101686.33295347224,121030.88049898134
F3: Urgency (Max),141990.93300851926,90556.79,141988.0,6383.8236194531655
F4: Reversal Risk (Min),0.0,127082.92,216865.49271909508,9171.382890697358
F5: Spatial Score (Min),0.0863858254248498,0.1083,0.4257172581233039,0.1500307600328235
