Objective,Nadir,Utopia
Bio_and_extinction,1036.6513940227774,145998.50280469665
Carbon,5313.825487180389,193410.0019679619
Urgency,38.21229676799993,141990.93300851926
Reversal Risk,216855.27224933158,0.0
Spatial Penalty,3.457951882286085,0.08638582542484989
