,Bio_and_extinction_val,Car_val,Urg_val,Rev_val,Spatial_val
Biodiversity and Extinction,145998.50280469665,124695.09526205185,59183.77658572716,87859.07748493185,0.28090665840720286
Carbon,40017.678278596344,193410.0019679619,23882.438370422522,115229.04217557174,1.6576124716572773
Urgency,106612.74724405335,101693.5305727946,141990.93300851926,216855.27224933158,0.439335022179519
Reversal Risk,1036.6513940227774,5313.825487180389,38.21229676799993,0.0,3.457951882286085
Spatial Penalty,18294.75736703548,104509.35959122778,22874.281628410685,96802.0806863229,0.08638582542484989
